"RUN_ID","RUN_TIMESTAMP","DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"run_1785051923910","2026-07-26T07-45-23-906Z","","13366","Valid User Invalid Password","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","7969","Authenticate and save state","setup","2026-07-26","passed","2026-07-26","","setup\auth.setup.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","1","Valid Login","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","1","Valid User Invalid Password","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","14467","Verify Login Page","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","0","Invalid User With Space","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","1","Verify Login Page","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","0","Invalid User Valid Password","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","13782","Invalid User Valid Password","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","13006","Invalid User With Space","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785051923910","2026-07-26T07-45-23-906Z","","7974","Valid Login","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","13366","Valid User Invalid Password","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","7969","Authenticate and save state","setup","2026-07-26","passed","2026-07-26","","setup\auth.setup.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","1","Valid Login","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","1","Valid User Invalid Password","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","14467","Verify Login Page","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","0","Invalid User With Space","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","1","Verify Login Page","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","0","Invalid User Valid Password","chromium","2026-07-25","skipped","2026-07-25","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","13782","Invalid User Valid Password","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","13006","Invalid User With Space","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
"run_1785053111997","2026-07-26T08-05-11-995Z","","7974","Valid Login","mobile-chrome","2026-07-26","passed","2026-07-26","","e2e\Login.spec.js","",""
